;propertyCode;Centro_comercial;Centro_comercial_distancia;cinema;distancia_cinema;Parque;Parque_distancia;Gimnasio ;Gimnasio _distancia;Supermercado;Supermercado_distancia;Teatro ;Teatro _distancia;farmacia_mas_cercana;distancia_farmacias;Escuelas;escuelas_distancia
76;102842326;DISTAR centres del descans;859.7654682114744;Cines Verdi Barcelona;421.1374636818866;;166.90826648766776;Espacio Sattva;70.7284240885834;MODU supermarket;53.41113045348917;Lliure;312.8698027033824;Farmàcia Laura Sagarra;32.85515706845257;Escola Patronat Domenech;208.1066306583341
77;103294347;Muji;664.8267383767769;Cinesa Diagonal;234.12552587154244;;334.2141568027685;Be Legend;509.5373351415797;OpenCor;259.29476892136006;;1064.8303400956197;Farmàcia Serrano Pérez de la B., Maria F.;185.84172709479148;Institució Cultural del CIC;370.1694518494082
78;104628125;Galeries Maldà;383.79003328326;Filmoteca de Catalunya;355.0350263378815;;305.11406106399454;Centre Esportiu Municipal Colom;324.1338609743036;Mi Al Campo;61.00738568209206;Gran Teatre del Liceu;75.79358515253945;Farmàcia Tenorio Ripoll, Maria Isabel;18.33495897812552;EOI de Barcelona - Drassanes;309.165701970507
79;102924204;Galeries Maldà;739.8531722201241;Cinema Maldà;702.8609313353504;;301.287803894504;Ashtanga Yoga Shala;280.2472986009867;;91.4266821409266;Palau Dalmases;355.7219614709208;Farmàcia Paricio Toledo, Jesus Carlos;114.23691876969475;Escola Ángel Baixeiras;151.56730799069626
80;105741973;La Maquinista;1020.6382450389708;CINESA 3D La Maquinista;952.5147545602453;;334.24447268035465;;1510.621541283863;Mercadona;351.38161652011325;Sant Andreu Teatre;873.1414913318348;Farmàcia Fernández Retuerto, M. Carme;220.036727710694;Centre Educatiu Mare de Déu de la Soledat;451.0710858291913
81;105957559;Galerías Olimpia;332.68359690554337;Renoir Floridablanca;477.587621673336;;20.876703830632287;VivaGym;183.89348968623608;Mônmas;69.36153329155225;Teatre del Raval;250.84577741374557;Vives Ferrer;86.98082147435835;Escola Pia Sant Antoni;103.15286370557575
82;105457114;Travessa outdoor;454.077422928437;Zumzeig;644.1553304481976;;218.2250666023514;Iogasants Connectat;181.74960222027752;Hiper Galicia;203.2978252146086;;537.3767420623037;Farmàcia Baladron Acero, Maria;105.87298034237872;Institució Montserrat SCCL;313.30835963042983
83;103733107;El Corte Inglés;1221.7561136513448;Gran Sarria Multicines;1499.4142034650451;;201.06064155739395;Anytime Fitness;74.71518788945862;Bon Area;263.93786140603845;Centre Parroquial de Sant Vicenç de Sarrià;580.0124992795498;Farmàcia Trinquet;36.89150607174862;Escola Orlandai;224.56836303967896
84;104079678;Travessa outdoor;953.7545565066554;Filmax Gran Via;1629.5255354874628;;75.17764689017204;;517.7435663099616;Caprabo;63.75170843339073;Auditori la Torrassa;606.8166301529288;Farmàcia Carreras Candi;43.9044382055202;Institut Lluís Vives;154.0691737615673
85;102490609;Galeries Maldà;937.682350025351;Cinema Maldà;895.202371744971;;243.2493088799065;Ashtanga Yoga Shala;444.28321100352815;De tot al Born;114.35947815203058;La Seca Espai Brossa;69.21447492460112;Farmàcia Cerra, Mario;89.3304341288512;Escola Tècnico-Professional Xavier;468.6543160789941
