propertyCode;properties.name;properties.name_distancia
104963717;Institut Montserrat;207.68668984782968
101941375;La Salle Comtal;38.220925932425935
88318137;Centre Educatiu Grèvol;399.1904796761397
104565724;Escola Drassanes;66.54387219580106
102912353;Escola Vila Olímpica;324.1902083850749
101651267;Escola Joaquim Ruyra;573.6243613191803
103258040;La Salle Bonanova;139.49944628487867
105228892;Escuela de Artes Aplicadas y Oficios Antiguos;161.46034633782264
104595313;Institut Salvador Espriu;293.1892496985608
105390672;Escola Josep Maria Jujol;235.26900474664168
97362092;Centre Educatiu Grèvol;530.1891651080334
104254346;Sant Josep Teresianes;112.00276186562341
101087741;Escola Collaso i Gil;262.64606424771335
104801319;Escola Ángel Baixeiras;549.6221984905058
104631874;Francesc Pejoan;101.62128432373973
105404692;Els Arcs;114.06090436755126
103364380;Institut Menéndez y Pelayo;139.81799468674498
104620738;Escola Massana;370.4767817721564
103478038;CodeLearn;469.074629428206
105462652;Lycée Français de Barcelone;410.6310199219885
103516759;Institució Cultural del CIC;238.73706136870044
104648836;Mary Ward;307.30209882010746
104694090;Magic Mirror Center;161.0704802168007
104257706;Escola Pia Sant Miquel;290.9410770610503
105338844;Escola Augusta;127.07149092298522
104705532;Escola Augusta;207.43488318568768
104680716;OAK House School;246.61436521255172
103013559;Escola Massana;234.0678785100164
103210648;La Farigola de Vallcarca;100.08947487662475
105405206;Lyceé Français de Barcelone;273.11700422924974
105432622;Escuela de Artes Aplicadas y Oficios Antiguos;128.2535638798407
103518364;Escola Nàutica Port Olímpic;171.4919889743467
103272413;Escola Pau Casals-Gràcia;213.73909006003697
104388372;EOI de Barcelona - Drassanes;142.42735760828913
105199115;El Joncar;200.11465562846158
105030838;Escola 9 Graons;135.32038874258126
104542928;Som-hi dansa;113.70639964873484
104919516;Associació Centre Pedralbes;303.46169652109114
104396322;Acis-Artur Martorell;327.23643620580793
99750257;Kensington School;263.60182386163325
104160734;Escola Enric Granados;275.2777970988243
105939300;Escola Ángel Baixeiras;198.30803718965717
105849885;Escola Pau Casals-Gràcia;213.44212454917508
105911337;acidH;126.97116014442943
103518556;Escola Massana;248.871798891801
105946146;Escola Collaso i Gil;100.89942681824202
105909819;Escola Tabor;404.75008249143326
105957219;Escola Nausica;95.81572976618547
102860017;La Salle Comtal;185.72115693693058
105960012;Escola Tècnico-Professional Xavier;218.5706313181525
105962434;Escola Pia Sant Miquel;60.485443377829505
105788915;Escola Sagrat Cor;247.25554801534298
105750598;Maristes Sants - les Corts;171.8299888554049
105958604;Escola de les Aigües;338.9985269324821
105229591;Escola Infant Jesús;130.19320843252737
103718170;Escola Ángel Baixeiras;389.7586215139919
105519537;Institut Angeleta Ferrer;271.78663495688323
105925739;Centre d'Estudis Montseny-Poblenou;83.45880749660424
102569515;Som-hi dansa;80.76120580997842
104202011;Centre Educatiu Sagrat Cor Besòs;563.9827764744721
104514229;Escola Pia Sant Miquel;317.2933827949754
104853787;Escola Ángel Baixeiras;360.87872606550116
91871835;Escola Santíssima Trinitat;115.49091750105022
105959600;Mare de Déu del Coll;94.53516791704831
105656491;Maristes Anna Ravell;111.40520507201313
105958039;Escola d'Aprenents Sant Genís dels Agudells;535.2672478281858
105475324;Escola Josep Maria Jujol;334.85725432533616
105958684;Salesià de Sant Josep;259.98396002378377
105957609;Escola La Farigola del Clot;219.34998067840792
33932885;Escola Montserrat;718.0328804515436
105959494;Escola Els Porxos;127.0050352204349
104849663;Institut Escola del Treball;96.8607097707408
104259590;Institut Escola Elisabets;245.7406032260769
103502818;Santa Teresa - Ganduxer;34.06221099527128
104478337;Escola Octavio Paz;71.03776283560961
105889615;Mare de Déu dels Àngels;42.07547291053043
103435255;Escola Coves d'en Cimany;64.81144575778342
101811965;Vedruna Immaculada Barcelona;175.26215770378127
105033807;Institut Front Marítim;79.13784247195002
105637400;Col·legi Maristes la Immaculada;157.23973465228258
105463754;Associació Centre Pedralbes;296.98579417674716
104950437;Escola Auró;162.00124224284295
88975940;La Salle Comtal;223.22481636266758
105924354;CFA Barceloneta;140.88088454456852
95279631;Institut de Nàutica de Barcelona;175.79241151831482
96153475;Institut Escola Elisabets;241.64913971779362
105093875;Institut Joan Salvat Papaseit;350.53373098667146
