propertyCode;Teatro ;Teatro _distancia
97693667;La Gleva;1485.5047932455996
105701066;Teatre Akademia;294.7824680666687
102603161;Aquitania;781.650961409598
103776691;Teatre Gaudi;502.1526112325965
103359267;Centre Parroquial de Sant Vicenç de Sarrià;1558.9607121398953
102913758;Teatre Tívoli;221.15044767322985
104550849;Aquitania;928.6018853234899
105141580;Sant Andreu Teatre;1048.3923390515322
104537707;Jove Teatre Regina;329.2066371398187
104904674;La Gleva;339.06278368168455
89005247;Centre Parroquial de Sant Vicenç de Sarrià;1062.701360241168
101491602;;1030.9492811419877
105909607;Teatre Muntaner;162.73952487184602
105230662;Aquitania;762.6184877197372
105199868;Microteatre Barcelona;285.1687098908894
101259266;L'Autentica Teatre;251.3487345273176
105826054;La Gleva;1304.9442545588881
104867152;Tablao Flamenco Cordobes;319.78424989264846
81669178;Taller Masriera;715.3453454160872
105846964;L'Antic Teatre;109.14242019149869
105274316;Teatre Gaudi;94.97012373905169
104161853;;502.7032437774334
105280045;Teatre Gaudi;100.83349130083002
105879698;Palau de la Música Catalana;147.2109780702631
105642804;Palau de la Música Catalana;147.2109780702631
105756634;La Gleva;344.54874534818026
102458702;Aquitania;223.0839645862626
105335107;Gran Teatre del Liceu;83.33171858171241
105384446;La Puntual;211.67282632244766
105685571;La Seca Espai Brossa;819.0243405967708
103710057;La Gleva;953.860800165614
104884593;Sant Andreu Teatre;1746.7671079599525
105848025;Gran Teatre del Liceu;350.29506243265337
105245858;Centre Parroquial de Sant Vicenç de Sarrià;1273.1010647322535
105300626;Teatre Muntaner;246.7951609706747
102185677;La Seca Espai Brossa;1073.261013215401
105333105;Teatre Nacional de Catalunya. Sala Tallers;1167.8193829170043
105616565;Taller Masriera;593.9611251376664
105613740;Teatre Tívoli;215.24005491642654
105398788;Taller Masriera;349.978442554029
105625320;Sala FlyHard;145.28654891775867
95528911;Casino l'Aliança del Poblenou;1532.6692765957955
105577757;Teatre Gaudi;891.5299174960796
105379104;Coliseum;464.4388360423941
104867153;La Villarroel;884.3267970219824
105465974;Coliseum;227.00740057100256
105141354;Barcelona Teatre Musical;582.9229854567781
104908970;Centre Parroquial de Sant Vicenç de Sarrià;3613.9264693260075
104184527;Cafè-Teatre el Llantiol;149.5894067825535
91520924;;68.7706437670567
97374858;Teatre Romea;119.19719462394214
