propertyCode;latitude;longitude;estacion_mas_cercana;distancia_metros
105636547;41.3794416;2.0689801;Sant Ildefons;2201.3215296346243
105061090;41.3819714;2.0666636;Sant Ildefons;2542.570635785386
105033067;41.3788059;2.073551;Sant Ildefons;1939.690851388213
105021974;41.3819114;2.0684193;Sant Ildefons;2454.4930750996014
103437919;41.3891849;2.0798726;Can Vidalet;2553.9021801068475
104669440;41.3835021;2.0769651;Can Boixeres;2239.055869224597
105980691;41.380185;2.066326;Sant Ildefons;2401.551186103916
101629916;41.3760208;2.0791443;Can Boixeres;1473.2677861006014
105951307;41.383235;2.0781989;Can Boixeres;2159.1895753210474
105130699;41.3800071;2.0707817;Sant Ildefons;2170.2356943108102
105396453;41.3879503;2.0697967;Can Boixeres;2988.927306689061
105994020;41.3814463;2.0648444;Sant Ildefons;2588.401993801353
104695588;41.3834699;2.07686;Can Boixeres;2240.8548603976915
104455740;41.3782425;2.0600759;Cornellà Centre;2485.281462541725
103239954;41.3779593;2.0584189;Cornellà Centre;2508.700119714171
103986581;41.3852768;2.0595236;Sant Ildefons;3200.1055126256856
104324608;41.3823459;2.0705893;Sant Ildefons;2403.2352500489546
105922681;41.3832735;2.0784216;Can Boixeres;2153.3143042696715
105588553;41.392832;2.0718575;Can Vidalet;3306.9899419128674
105891945;41.3795838;2.0719095;Sant Ildefons;2081.618498064999
102868593;41.3896187;2.0817173;Can Vidalet;2494.3652773681724
104823539;41.3877184;2.0796608;Can Vidalet;2444.7990690280185
104000327;41.3857449;2.0812861;Can Vidalet;2192.8112974821775
102868606;41.3870743;2.0820767;Can Vidalet;2256.0016787997492
100550650;41.3916775;2.0740448;Can Vidalet;3087.286457271842
105378883;41.392053;2.0737469;Can Vidalet;3134.5791286787266
105251104;41.381149;2.079537;Can Boixeres;1903.135975700438
92013267;41.3890419;2.0765722;Can Vidalet;2730.5444108829956
105535171;41.387341;2.0611827;Sant Ildefons;3294.4207359960765
105055474;41.3851077;2.0723161;Can Boixeres;2610.2742456867995
105621344;41.380094;2.0692987;Sant Ildefons;2245.526952856535
104848963;41.3850398;2.0738653;Can Boixeres;2526.457674481427
104245869;41.3928951;2.0765025;Can Vidalet;3050.6346712402
104250745;41.3954659;2.0776023;Zona Universitària;3111.229744288055
104745032;41.3855455;2.0807699;Can Vidalet;2208.016509135483
104016593;41.3863114;2.0807417;Can Vidalet;2269.5692998865316
104744895;41.3860005;2.0802418;Can Vidalet;2274.899787970367
105186116;41.3879514;2.0789752;Can Vidalet;2503.1371726510433
104805158;41.3872158;2.0785258;Can Vidalet;2471.9015706259725
104764625;41.3853273;2.0780993;Can Vidalet;2358.234120028778
105899025;41.3814853;2.0675254;Sant Ildefons;2456.8862357616995
105182787;41.3903877;2.0734643;Can Vidalet;3021.3782421053797
104974993;41.3840181;2.0736512;Can Boixeres;2446.2025819254227
101813228;41.3973705;2.0769124;Zona Universitària;3253.276832564552
37669325;41.3826381;2.0800744;Can Boixeres;2023.9216220182311
103726508;41.3882028;2.0791482;Can Vidalet;2513.3468051501227
105908909;41.3805684;2.059338;Cornellà Centre;2748.97008348452
105876191;41.3789162;2.0572136;Cornellà Centre;2647.1452869991144
100656795;41.3869676;2.0762164;Can Vidalet;2596.1296039335534
104981254;41.3866715;2.0707009;Can Boixeres;2830.309870189405
104830530;41.3861701;2.0707974;Sant Ildefons;2776.4801957168197
105040594;41.3863928;2.0726205;Can Boixeres;2709.241524034557
105046369;41.3843418;2.0724991;Sant Ildefons;2533.4713242538232
104174115;41.3828366;2.0809752;Can Vidalet;1997.2245866469004
104971905;41.3814045;2.0808393;Can Boixeres;1872.9677713735502
101469054;41.3800419;2.0784873;Can Boixeres;1850.1304413424089
105957732;41.3852383;2.0700109;Sant Ildefons;2710.749503602283
102410371;41.3787418;2.0749714;Sant Ildefons;1880.901917484362
102985617;41.3799733;2.0757909;Sant Ildefons;1980.3123093402237
104453933;41.3822092;2.0662144;Sant Ildefons;2585.948794611479
104086837;41.3896564;2.0797119;Can Vidalet;2602.496940948126
104525431;41.3881402;2.0761269;Can Vidalet;2688.290252822331
103040644;41.3917158;2.0819761;Zona Universitària;2619.8462564230185
105898094;41.3941979;2.0810336;Zona Universitària;2791.9223106236627
103734259;41.3890732;2.0742014;Can Vidalet;2877.132308942759
103618608;41.3908876;2.0849156;Zona Universitària;2357.5435519657462
99601378;41.3869402;2.0782286;Can Vidalet;2468.7942204660417
101885723;41.3882408;2.0795499;Can Vidalet;2493.516109627687
103156838;41.3912099;2.0740318;Can Vidalet;3051.0203739641815
103511768;41.3853333;2.0789484;Can Vidalet;2304.544764602119
102180826;41.3856819;2.081584;Can Vidalet;2170.323383228488
104899532;41.3859733;2.0727445;Can Boixeres;2665.421623635091
105094134;41.3812097;2.0711304;Sant Ildefons;2270.8649272227635
102822941;41.3977491;2.0747846;Zona Universitària;3431.463341848765
101660357;41.3949254;2.0768322;Zona Universitària;3147.2477173092257
104732459;41.391844;2.0744102;Can Vidalet;3079.450800227987
105299487;41.3914874;2.0726627;Can Vidalet;3154.203705973768
105370421;41.3931305;2.0752744;Can Vidalet;3136.9013858631106
105324192;41.3914737;2.0723739;Can Vidalet;3170.5558094125913
100719734;41.3790523;2.0745253;Sant Ildefons;1927.8912376286885
100753590;41.3808016;2.0759363;Can Boixeres;2047.7264047494539
