properties.name;properties.route_ref;latitude;longitude
Zona Universitària - Facultat d'Economia i Empresa;V1 33 175 113 N12;2.1113129;41.3848616
Pavelló i Camp;;1.8881668;41.5476331
Cantàbria - Rbla Prim;V31 B24;2.2000071;41.4249791
Sas - Pl Celestí Boada;H8;2.2040259;41.4389244
Lima - Caracas;11 V33 N8;2.2044912;41.4391832
Tiana - Campins;133 60 V33;2.2009139;41.4476169
Av. de Catalunya - Can Cortès;;2.1803911;41.5846652
Escola Salvador Espriu;;2.2479683;41.4653974
Pl. Trafalgar;"3;B21;B23";2.2179253;41.4366708
Pius XII;B2 B3;2.2167143;41.4370785
Sant Bartomeu;;2.2169693;41.4420689
Trav. Prat de la Riba – Trav. Jaume Font;L88;1.9995783;41.3369323
Pi - Vinya;PA1;2.0161334;41.4323716
Carrer de L'Estació;;1.9786558;41.4734539
Carretera de Parets / Carretera de la Sagrera;;2.2303477;41.6511873
Sant Martí - Can Fenosa;;2.2356999;41.5365963
Pg. Pollancreda;B14 B21 B20 M30 N2 N6;2.212722;41.4335419
Metro Artigues-St. Adrià;B14 B21 B23 B20 M30 N2 N6;2.2165257;41.433825
Avinguda Riu Foix - Avinguda de Rocacrespa;;1.6947115;41.2236885
Sant Antoni de Llefià - Lope de Vega;B3 B23 B24 N2;2.2155266;41.4396019
;;2.023503;41.6025754
Deutsche Bank;;2.0564338;41.4921264
Dr. Zamenhof (Escola Aragai);;1.7125502;41.2197809
Avinguda Francesc Macià - Menéndez y Pelayo;;1.7149943;41.2206148
Josep Coroleu - Avinguda Jaume Balmes;;1.7216377;41.2192314
Josep Coloreu - Ramón y Cajal;;1.7207301;41.2204766
Pg. Carme - Rbla. Pirelli;;1.7278413;41.2152918
Canàries - Immaculada Concepció;;1.7317743;41.2182822
Av. Riu Foix - Riera de Marmellar;;1.6923633;41.2253845
Dr. Zamenhof - Torre de l'Enveja;;1.710199;41.2226553
Dr. Zamenhof - Torre de l'Enveja;;1.7100613;41.2228213
Aigua - Joan Llaverias;;1.7154176;41.2228476
Carrer de l'Aigua 147 | Aigua - Bruc;;1.7171192;41.2235644
Josep Coroleu - Esportiu Piscina;;1.7200358;41.2212446
Pl. Catalunya;;1.7204147;41.2241181
